Subjects,Triples,Kafka_in,Kafka_out,End_time
5,10,1707154545517,1707154545519.4595,1707154545533.6636
10,20,1707154555588,1707154555589.9028,1707154555628.1333
50,100,1707154565679,1707154565682.8228,1707154565781.3433
100,200,1707154575777,1707154575781.421,1707154575984.037
200,400,1707154585883,1707154585891.4219,1707154586367.974
500,1000,1707154595995,1707154596009.0964,1707154597442.534
1,2,1707154606101,1707154606103.5962,1707154606113.0835
2,4,1707154616195,1707154616197.0796,1707154616204.8306
5,10,1707154626290,1707154626291.9878,1707154626305.178
10,20,1707154636362,1707154636365.0276,1707154636391.6282
50,100,1707154646459,1707154646462.0544,1707154646558.0334
100,200,1707154656549,1707154656554.096,1707154656737.6526
200,400,1707154666657,1707154666664.307,1707154667068.25
500,1000,1707154676742,1707154676756.4958,1707154677988.838
1,2,1707154686855,1707154686857.0627,1707154686861.901
2,4,1707154696955,1707154696956.996,1707154696963.809
5,10,1707154707026,1707154707028.3567,1707154707040.573
10,20,1707154717077,1707154717079.4102,1707154717185.3506
50,100,1707154727142,1707154727144.833,1707154727250.6365
100,200,1707154737243,1707154737247.9297,1707154737426.593
200,400,1707154747350,1707154747357.599,1707154747749.203
500,1000,1707154757448,1707154757461.8508,1707154758707.8125
1,2,1707154767556,1707154767558.6453,1707154767563.6907
2,4,1707154777654,1707154777656.027,1707154777662.983
5,10,1707154787758,1707154787759.9878,1707154787773.0862
10,20,1707154797852,1707154797855.0132,1707154797883.6484
50,100,1707154807946,1707154807949.9697,1707154808233.6404
100,200,1707154818038,1707154818042.537,1707154818233.4346
200,400,1707154828144,1707154828151.995,1707154828536.0728
500,1000,1707154838248,1707154838263.645,1707154839469.0576
1,2,1707154848361,1707154848363.3333,1707154848367.5024
2,4,1707154858461,1707154858462.6565,1707154858469.4336
5,10,1707154868558,1707154868560.1099,1707154868572.6184
10,20,1707154878653,1707154878655.55,1707154878679.9707
50,100,1707154888752,1707154888755.5044,1707154888847.215
100,200,1707154898859,1707154898864.495,1707154899269.1548
200,400,1707154908963,1707154908970.246,1707154909351.1401
500,1000,1707154919071,1707154919084.9434,1707154920281.4746
1,2,1707154929182,1707154929184.2273,1707154929188.8582
2,4,1707154939288,1707154939290.6052,1707154939297.7673
5,10,1707154949393,1707154949394.9714,1707154949408.223
10,20,1707154959481,1707154959483.4175,1707154959508.5298
50,100,1707154969583,1707154969586.2847,1707154969677.8577
100,200,1707154979683,1707154979687.9915,1707154980080.7224
200,400,1707154989792,1707154989798.9114,1707154990182.2534
500,1000,1707154999902,1707154999916.3516,1707155001056.584
1,2,1707155010019,1707155010020.869,1707155010025.241
2,4,1707155020116,1707155020119.0386,1707155020125.4382
5,10,1707155030215,1707155030217.2014,1707155030229.2412
10,20,1707155040320,1707155040321.916,1707155040342.9707
50,100,1707155050411,1707155050414.8987,1707155050503.5068
100,200,1707155060507,1707155060512.2852,1707155060693.154
200,400,1707155070611,1707155070617.979,1707155071227.7976
500,1000,1707155080728,1707155080742.0496,1707155081898.7195
1,2,1707155090846,1707155090848.4216,1707155090855.5017
2,4,1707155100953,1707155100954.9866,1707155100961.6548
5,10,1707155111056,1707155111058.393,1707155111072.153
10,20,1707155121118,1707155121120.328,1707155121143.7139
50,100,1707155131169,1707155131172.0347,1707155131261.6445
100,200,1707155141224,1707155141228.022,1707155141410.244
200,400,1707155151276,1707155151283.6797,1707155151972.9243
500,1000,1707155161372,1707155161385.237,1707155162525.3398
1,2,1707155171475,1707155171477.5493,1707155171482.0159
2,4,1707155181574,1707155181575.948,1707155181582.1235
5,10,1707155191680,1707155191682.424,1707155191693.9111
10,20,1707155201789,1707155201791.0864,1707155201811.929
50,100,1707155211893,1707155211896.71,1707155211990.2026
100,200,1707155221991,1707155221996.711,1707155222194.822
200,400,1707155232104,1707155232111.0493,1707155232497.6326
500,1000,1707155242211,1707155242225.9094,1707155243602.5796
1,2,1707155253391,1707155253392.9158,1707155253401.7415
2,4,1707155263493,1707155263494.6636,1707155263501.653
5,10,1707155273591,1707155273593.0317,1707155273605.2803
10,20,1707155283677,1707155283680.0522,1707155283700.399
50,100,1707155293784,1707155293795.378,1707155294126.179
100,200,1707155303872,1707155303878.8179,1707155304179.0579
200,400,1707155631844,1707155631851.8928,1707155632916.3706
500,1000,1707155641959,1707155641972.1033,1707155643694.773
1,2,1707155652062,1707155652064.4382,1707155652071.0674
2,4,1707155662188,1707155662190.7393,1707155662201.0754
5,10,1707155672289,1707155672291.8174,1707155672305.0205
10,20,1707155682365,1707155682368.5457,1707155682416.8296
50,100,1707155692471,1707155692475.5435,1707155692664.484
100,200,1707155702581,1707155702587.2217,1707155702782.5085
200,400,1707155712692,1707155712699.3442,1707155713106.7737
500,1000,1707155722816,1707155722830.9497,1707155724383.0823
1,2,1707155732919,1707155732920.9082,1707155732929.3245
2,4,1707155743022,1707155743024.3562,1707155743031.1357
5,10,1707155753100,1707155753103.7104,1707155753123.8167
10,20,1707155763157,1707155763159.2559,1707155763187.7498
50,100,1707155773212,1707155773214.7856,1707155773325.9468
100,200,1707155783267,1707155783271.5664,1707155783469.5994
200,400,1707155793346,1707155793352.5164,1707155793730.6465
500,1000,1707155803442,1707155803458.424,1707155804695.903
1,2,1707155813526,1707155813529.8171,1707155813536.3735
2,4,1707155823622,1707155823623.9219,1707155823631.471
5,10,1707155833715,1707155833717.5796,1707155833731.2874
10,20,1707155843774,1707155843777.0276,1707155843810.8074
50,100,1707155853871,1707155853875.0686,1707155854281.6147
100,200,1707155863976,1707155863980.9956,1707155864171.681
200,400,1707155874086,1707155874093.406,1707155874484.6792
500,1000,1707155884172,1707155884188.7073,1707155885323.607
1,2,1707155894288,1707155894289.9436,1707155894297.2812
2,4,1707155904387,1707155904388.7273,1707155904396.2722
5,10,1707155914492,1707155914493.5906,1707155914505.9573
10,20,1707155924563,1707155924565.9287,1707155924591.2324
50,100,1707155934668,1707155934671.8281,1707155934773.6958
100,200,1707155944774,1707155944778.4724,1707155944960.4285
200,400,1707155954845,1707155954852.596,1707155955474.36
500,1000,1707155964940,1707155964954.2004,1707155966078.7498
1,2,1707155975046,1707155975048.4731,1707155975053.0952
2,4,1707155985138,1707155985139.7854,1707155985146.271
5,10,1707155995241,1707155995243.1758,1707155995255.6433
10,20,1707156005289,1707156005291.5698,1707156005318.0986
50,100,1707156015344,1707156015346.6628,1707156015441.547
100,200,1707156025449,1707156025453.2888,1707156025639.4646
200,400,1707156035560,1707156035567.2764,1707156035942.3086
500,1000,1707156045649,1707156045662.198,1707156046992.8228
1,2,1707156055758,1707156055760.0557,1707156055768.6482
2,4,1707156065860,1707156065861.9902,1707156065868.481
5,10,1707156075952,1707156075954.398,1707156075966.6704
10,20,1707156086020,1707156086022.639,1707156086047.8125
50,100,1707156096096,1707156096099.0066,1707156096190.6409
100,200,1707156106152,1707156106156.3704,1707156106347.696
200,400,1707156116260,1707156116266.5125,1707156116644.3057
500,1000,1707156126368,1707156126381.2966,1707156127743.041
1,2,1707156136485,1707156136486.6577,1707156136494.837
2,4,1707156146578,1707156146579.4797,1707156146586.4731
5,10,1707156156677,1707156156679.3586,1707156156691.8845
10,20,1707156166778,1707156166781.0825,1707156166802.0566
50,100,1707156176877,1707156176881.0017,1707156176992.273
100,200,1707156186979,1707156186983.31,1707156187162.7595
200,400,1707156197089,1707156197096.059,1707156197505.0662
500,1000,1707156207201,1707156207213.9517,1707156208554.395
1,2,1707156217312,1707156217314.0981,1707156217323.9468
2,4,1707156227416,1707156227418.3474,1707156227425.248
5,10,1707156237516,1707156237518.499,1707156237531.2856
10,20,1707156247611,1707156247613.3992,1707156247637.121
50,100,1707156257714,1707156257717.177,1707156257817.8176
100,200,1707156267816,1707156267820.7876,1707156268018.6848
200,400,1707156277919,1707156277925.999,1707156278332.6091
500,1000,1707156288038,1707156288050.8274,1707156289216.0562
1,2,1707156298151,1707156298153.3264,1707156298161.847
2,4,1707156308256,1707156308258.3865,1707156308265.3389
5,10,1707156318366,1707156318367.95,1707156318380.2593
10,20,1707156328437,1707156328439.904,1707156328465.9707
50,100,1707156338539,1707156338542.265,1707156338632.0073
100,200,1707156348631,1707156348635.8975,1707156349037.2947
200,400,1707156358735,1707156358741.916,1707156359133.734
500,1000,1707156368825,1707156368838.4126,1707156370025.3865
1,2,1707156378944,1707156378945.543,1707156378950.9854
2,4,1707156389034,1707156389035.7244,1707156389043.6565
5,10,1707156399132,1707156399134.1208,1707156399145.5928
10,20,1707156409225,1707156409229.491,1707156409256.1626
50,100,1707156419336,1707156419339.7234,1707156419430.8662
100,200,1707156429431,1707156429436.071,1707156429630.3135
200,400,1707156439538,1707156439545.5405,1707156440132.7458
500,1000,1707156449644,1707156449658.8132,1707156450825.9387
1,2,1707156459766,1707156459768.7476,1707156459773.7554
2,4,1707156469873,1707156469874.7234,1707156469881.2942
5,10,1707156479961,1707156479963.0732,1707156479975.032
10,20,1707156490069,1707156490071.529,1707156490094.6658
50,100,1707156500163,1707156500166.4438,1707156500257.5151
100,200,1707156510266,1707156510270.2783,1707156510462.6404
200,400,1707156520374,1707156520382.2073,1707156520759.302
500,1000,1707156530497,1707156530510.8438,1707156532098.527
1,2,1707156540607,1707156540610.4866,1707156540621.135
2,4,1707156550715,1707156550716.616,1707156550723.7583
5,10,1707156560808,1707156560809.9287,1707156560822.9373
10,20,1707156570904,1707156570906.6382,1707156570931.517
50,100,1707156581010,1707156581013.6084,1707156581107.8762
100,200,1707156591102,1707156591106.7751,1707156591292.0015
200,400,1707156601214,1707156601220.976,1707156601640.4656
500,1000,1707156611331,1707156611344.7732,1707156612766.5483
1,2,1707156621442,1707156621444.369,1707156621453.0334
2,4,1707156631549,1707156631551.3965,1707156631557.9448
5,10,1707156641651,1707156641653.504,1707156641664.8564
10,20,1707156651754,1707156651756.2327,1707156651775.947
50,100,1707156661857,1707156661860.1538,1707156661950.3357
100,200,1707156671954,1707156671963.9128,1707156672154.0188
200,400,1707156682076,1707156682082.5654,1707156682481.3567
500,1000,1707156692145,1707156692158.1338,1707156693374.9832
1,2,1707156702201,1707156702203.278,1707156702207.4348
2,4,1707156712256,1707156712257.9006,1707156712263.9448
5,10,1707156722321,1707156722323.075,1707156722334.4966
10,20,1707156732403,1707156732405.4338,1707156732426.3171
50,100,1707156742511,1707156742514.3362,1707156742605.0261
100,200,1707156752622,1707156752626.9758,1707156753072.7412
200,400,1707156762727,1707156762733.0764,1707156763122.0408
500,1000,1707156772840,1707156772852.81,1707156774051.752
1,2,1707156782949,1707156782950.9539,1707156782956.8965
2,4,1707156793056,1707156793058.2195,1707156793064.38
5,10,1707156803155,1707156803156.6997,1707156803168.704
10,20,1707156813247,1707156813249.172,1707156813269.0713
50,100,1707156823355,1707156823358.4678,1707156823461.0063
100,200,1707156833455,1707156833459.3567,1707156833639.179
200,400,1707156843570,1707156843577.1797,1707156843947.8875
500,1000,1707156853685,1707156853702.1628,1707156855167.191
1,2,1707156863809,1707156863810.5684,1707156863819.033
2,4,1707156873908,1707156873909.4624,1707156873918.6597
5,10,1707156884013,1707156884014.845,1707156884027.2595
10,20,1707156894109,1707156894111.4546,1707156894133.1338
50,100,1707156904206,1707156904209.26,1707156904300.845
100,200,1707156914316,1707156914320.4888,1707156914506.0825
200,400,1707156924399,1707156924405.1023,1707156924835.9375
500,1000,1707156934505,1707156934518.2188,1707156935928.6274
1,2,1707156944616,1707156944617.6018,1707156944626.6692
2,4,1707156954713,1707156954714.5078,1707156954723.6755
5,10,1707156964789,1707156964791.1836,1707156964803.6448
10,20,1707156974890,1707156974892.5,1707156974914.5762
50,100,1707156984989,1707156984991.7805,1707156985085.7805
100,200,1707156995094,1707156995098.7031,1707156995294.5461
200,400,1707157005194,1707157005201.3804,1707157005708.519
500,1000,1707157015317,1707157015329.47,1707157016466.6523
1,2,1707157025722,1707157025734.9885,1707157025765.2202
2,4,1707157035824,1707157035826.9463,1707157035836.2898
5,10,1707157045925,1707157045927.1106,1707157045940.8376
10,20,1707157056032,1707157056034.0496,1707157056058.07
50,100,1707157066134,1707157066137.3625,1707157066240.228
100,200,1707157076237,1707157076243.1704,1707157076805.2856
200,400,1707157086317,1707157086324.9365,1707157086778.7732
500,1000,1707157096435,1707157096448.783,1707157097727.4363
1,2,1707157106551,1707157106553.4277,1707157106614.112
2,4,1707157116654,1707157116655.4019,1707157116663.7078
5,10,1707157126753,1707157126755.0283,1707157126767.3608
10,20,1707157136831,1707157136833.0342,1707157136856.2827
50,100,1707157146938,1707157146941.2395,1707157147050.1414
100,200,1707157157042,1707157157046.8865,1707157157231.5928
200,400,1707157167152,1707157167159.368,1707157167546.356
500,1000,1707157177227,1707157177240.2273,1707157178640.0217
1,2,1707157187334,1707157187336.2622,1707157187344.3997
2,4,1707157197424,1707157197426.1907,1707157197432.669
5,10,1707157207521,1707157207522.845,1707157207535.344
10,20,1707157217584,1707157217586.1729,1707157217611.6292
50,100,1707157227676,1707157227679.5251,1707157227771.7983
100,200,1707157237774,1707157237778.218,1707157237962.6265
200,400,1707157247875,1707157247881.6123,1707157248281.3074
500,1000,1707157257975,1707157257990.7468,1707157259333.674
1,2,1707157268096,1707157268097.8958,1707157268107.1306
2,4,1707157278200,1707157278202.9958,1707157278210.3694
5,10,1707157288288,1707157288290.4707,1707157288302.6987
10,20,1707157298360,1707157298362.3542,1707157298387.8604
50,100,1707157308464,1707157308467.004,1707157308563.3315
100,200,1707157318570,1707157318574.868,1707157318772.123
200,400,1707157328676,1707157328683.0317,1707157329083.369
500,1000,1707157338784,1707157338798.9058,1707157339933.8247
1,2,1707157348889,1707157348890.765,1707157348895.8286
2,4,1707157358993,1707157358994.3281,1707157359000.8796
5,10,1707157369087,1707157369088.7607,1707157369100.9575
10,20,1707157379164,1707157379165.9617,1707157379189.5103
50,100,1707157389258,1707157389261.5608,1707157389354.7903
100,200,1707157399364,1707157399368.8381,1707157399763.0325
200,400,1707157409478,1707157409484.3184,1707157409872.2747
500,1000,1707157419589,1707157419602.0425,1707157420749.7441
1,2,1707157429696,1707157429697.557,1707157429702.1367
2,4,1707157439800,1707157439802.135,1707157439808.1387
5,10,1707157449904,1707157449906.1218,1707157449918.2095
10,20,1707157460000,1707157460002.288,1707157460024.0752
50,100,1707157470106,1707157470108.7715,1707157470201.4375
100,200,1707157480214,1707157480218.8047,1707157480406.476
200,400,1707157490314,1707157490320.9014,1707157490710.3372
500,1000,1707157500394,1707157500407.837,1707157501826.2786
1,2,1707157510509,1707157510511.4038,1707157510520.3428
2,4,1707157520611,1707157520613.0818,1707157520619.989
5,10,1707157530705,1707157530707.0957,1707157530720.2676
10,20,1707157540784,1707157540785.7056,1707157540807.9546
50,100,1707157550886,1707157550889.3154,1707157550982.052
100,200,1707157560977,1707157560981.7305,1707157561167.783
200,400,1707157571085,1707157571092.7974,1707157571480.7388
500,1000,1707157581175,1707157581188.6218,1707157582567.4375
1,2,1707157591285,1707157591286.664,1707157591296.7324
2,4,1707157601390,1707157601391.8188,1707157601398.778
5,10,1707157611498,1707157611499.7104,1707157611511.7095
10,20,1707157621593,1707157621595.167,1707157621618.4453
50,100,1707157631702,1707157631705.0698,1707157631842.5552
100,200,1707157641797,1707157641802.0188,1707157641996.0784
200,400,1707157651908,1707157651914.5728,1707157652319.3916
500,1000,1707157661991,1707157662004.182,1707157663200.734
1,2,1707157672102,1707157672103.7078,1707157672108.2734
2,4,1707157682202,1707157682204.2415,1707157682210.6055
5,10,1707157692302,1707157692304.4426,1707157692317.388
10,20,1707157702377,1707157702378.9114,1707157702401.6423
50,100,1707157712485,1707157712488.2007,1707157712580.5703
100,200,1707157722595,1707157722599.8296,1707157722782.3948
200,400,1707157732702,1707157732709.7175,1707157733388.9905
500,1000,1707157742794,1707157742807.995,1707157744139.7622
1,2,1707157752918,1707157752919.6372,1707157752923.7412
2,4,1707157763026,1707157763027.752,1707157763034.2651
5,10,1707157773128,1707157773130.0276,1707157773141.5823
10,20,1707157783213,1707157783215.5095,1707157783240.0803
50,100,1707157793319,1707157793322.513,1707157793415.3962
100,200,1707157803428,1707157803432.8762,1707157803615.9087
200,400,1707157813536,1707157813551.6306,1707157813968.3882
500,1000,1707157823656,1707157823669.9622,1707157825120.4949
1,2,1707157833777,1707157833778.5134,1707157833786.7742
2,4,1707157843882,1707157843884.09,1707157843890.1729
5,10,1707157853956,1707157853957.8398,1707157853970.5188
10,20,1707157864019,1707157864020.7568,1707157864043.2117
50,100,1707157874086,1707157874088.4785,1707157874181.9111
100,200,1707157884176,1707157884182.8413,1707157884390.9788
200,400,1707157894254,1707157894261.109,1707157894709.8577
500,1000,1707157904384,1707157904397.7756,1707157905588.9434
1,2,1707157914491,1707157914493.3018,1707157914497.7551
2,4,1707157924591,1707157924592.5168,1707157924600.381
5,10,1707157934631,1707157934633.0994,1707157934646.962
10,20,1707157944729,1707157944731.4485,1707157944754.2488
50,100,1707157954838,1707157954841.4062,1707157954933.2688
100,200,1707157964935,1707157964939.8174,1707157965344.041
200,400,1707157975025,1707157975031.8875,1707157975424.9783
500,1000,1707157985139,1707157985152.6516,1707157986350.1255
1,2,1707157995248,1707157995249.5925,1707157995256.2817
2,4,1707158005344,1707158005346.2808,1707158005352.963
5,10,1707158015418,1707158015420.4873,1707158015432.4617
10,20,1707158025523,1707158025524.8245,1707158025546.3596
50,100,1707158035633,1707158035636.4114,1707158035743.0269
100,200,1707158045745,1707158045750.4456,1707158045935.6118
200,400,1707158055852,1707158055858.225,1707158056252.8665
500,1000,1707158065967,1707158065980.9927,1707158067406.077
1,2,1707158076088,1707158076090.1067,1707158076099.1155
2,4,1707158086188,1707158086190.2683,1707158086197.1033
5,10,1707158096281,1707158096282.8303,1707158096295.8792
10,20,1707158106380,1707158106382.387,1707158106404.4639
50,100,1707158116499,1707158116502.7268,1707158116620.5632
100,200,1707158126609,1707158126613.0537,1707158126798.4114
200,400,1707158136726,1707158136733.2344,1707158137132.0242
500,1000,1707158146841,1707158146854.0906,1707158148051.5994
1,2,1707158156951,1707158156952.909,1707158157013.0774
2,4,1707158167046,1707158167047.979,1707158167065.1313
5,10,1707158177146,1707158177148.345,1707158177161.7976
10,20,1707158187247,1707158187249.5334,1707158187270.8516
50,100,1707158197355,1707158197358.5083,1707158197455.825
100,200,1707158207464,1707158207468.5222,1707158207653.6663
200,400,1707158217549,1707158217556.2983,1707158217939.2642
500,1000,1707158227675,1707158227688.1575,1707158228898.9246
1,2,1707158237779,1707158237781.0796,1707158237785.8508
2,4,1707158247886,1707158247887.5571,1707158247894.3354
5,10,1707158257969,1707158257971.0183,1707158257983.7368
10,20,1707158268068,1707158268069.6213,1707158268091.1077
50,100,1707158278175,1707158278178.4043,1707158278269.2102
100,200,1707158288271,1707158288274.7961,1707158288450.2803
200,400,1707158298352,1707158298358.1401,1707158298967.5444
500,1000,1707158308460,1707158308473.619,1707158309692.1072
1,2,1707158318582,1707158318584.2617,1707158318588.5645
2,4,1707158328693,1707158328695.2666,1707158328702.1511
5,10,1707158338770,1707158338772.41,1707158338784.7927
10,20,1707158348875,1707158348876.9194,1707158348898.407
50,100,1707158358975,1707158358978.4207,1707158359067.506
100,200,1707158369075,1707158369079.3687,1707158369325.75
200,400,1707158379171,1707158379178.531,1707158379605.682
500,1000,1707158389292,1707158389305.901,1707158390668.995
1,2,1707158399414,1707158399415.9597,1707158399425.5627
2,4,1707158409510,1707158409511.5938,1707158409518.2458
5,10,1707158419601,1707158419603.3171,1707158419615.558
10,20,1707158429712,1707158429714.116,1707158429735.8193
50,100,1707158439820,1707158439823.0483,1707158439913.7214
100,200,1707158449931,1707158449935.2004,1707158450113.6118
200,400,1707158460039,1707158460045.9392,1707158460491.6548
500,1000,1707158470161,1707158470173.904,1707158471299.5771
1,2,1707158480268,1707158480270.2297,1707158480274.4243
2,4,1707158490369,1707158490371.2896,1707158490377.383
5,10,1707158500471,1707158500472.9436,1707158500485.604
10,20,1707158510572,1707158510573.8333,1707158510594.9377
50,100,1707158520674,1707158520677.5574,1707158520768.2004
100,200,1707158530787,1707158530791.1301,1707158530969.2673
200,400,1707158540886,1707158540893.131,1707158541572.869
500,1000,1707158551003,1707158551016.4731,1707158552158.5774
1,2,1707158561125,1707158561127.6948,1707158561134.437
2,4,1707158571232,1707158571233.855,1707158571240.2244
5,10,1707158581338,1707158581340.1436,1707158581352.5312
10,20,1707158591445,1707158591446.9102,1707158591468.22
50,100,1707158601550,1707158601552.5757,1707158601641.2073
100,200,1707158611665,1707158611672.5923,1707158611920.2341
200,400,1707158621778,1707158621785.074,1707158622243.2139
500,1000,1707158631890,1707158631903.9631,1707158633514.8423
1,2,1707158642007,1707158642009.3416,1707158642017.1335
2,4,1707158652067,1707158652069.1157,1707158652075.5007
5,10,1707158662119,1707158662121.2542,1707158662132.7834
10,20,1707158672182,1707158672184.064,1707158672204.2632
50,100,1707158682252,1707158682255.2522,1707158682348.5955
100,200,1707158692353,1707158692357.7417,1707158692542.257
200,400,1707158702465,1707158702471.7175,1707158702869.8003
500,1000,1707158712587,1707158712600.662,1707158713815.0076
1,2,1707158722706,1707158722707.7659,1707158722711.7212
2,4,1707158732811,1707158732812.6235,1707158732819.025
5,10,1707158742912,1707158742914.2666,1707158742926.0483
10,20,1707158753000,1707158753001.5906,1707158753024.115
50,100,1707158763106,1707158763109.131,1707158763197.8328
100,200,1707158773211,1707158773215.1218,1707158773398.2761
200,400,1707158783324,1707158783330.919,1707158783994.3633
500,1000,1707158793417,1707158793431.3577,1707158794604.3044
1,2,1707158803536,1707158803537.44,1707158803541.4683
2,4,1707158813628,1707158813630.1697,1707158813637.1128
5,10,1707158823735,1707158823737.0796,1707158823749.4336
10,20,1707158833814,1707158833815.722,1707158833839.4648
50,100,1707158843924,1707158843927.0134,1707158844020.433
100,200,1707158854030,1707158854034.1655,1707158854217.2415
200,400,1707158864138,1707158864144.3018,1707158864569.2668
500,1000,1707158874257,1707158874270.425,1707158875674.423
1,2,1707158884364,1707158884366.252,1707158884375.6392
2,4,1707158894456,1707158894457.801,1707158894464.4055
5,10,1707158904521,1707158904523.3066,1707158904535.9446
10,20,1707158914612,1707158914613.7976,1707158914634.6643
50,100,1707158924694,1707158924696.9158,1707158924788.5728
100,200,1707158934809,1707158934813.3613,1707158934999.524
200,400,1707158944922,1707158944929.1008,1707158945355.3904
500,1000,1707158955046,1707158955059.5142,1707158956236.3733
1,2,1707158965166,1707158965168.1624,1707158965172.3643
